organization,programme,economic_category,standard_object,appropriation,amount
Global Affairs Canada,Polar Science and Knowledge,operating,Professional and special services,voted,6476781.41
"Innovation, Science and Economic Development Canada",Intellectual Property,transfers,Transfer payments,unknown,6474421.61
Office of the Chief Electoral Officer,Field Management,personnel,Personnel,voted,6468955.57
National Defence,"Defence Infrastructure Construction, Recapitalization and Investment",transfers,Transfer payments,unknown,6464000.0
Global Affairs Canada,Internal Services,operating,Transportation and communications,voted,6461769.29
Statistics Canada,Economic and Environmental Statistics,operating,Rentals,voted,6460954.64
Correctional Service Canada,Materiel Management Services,personnel,Personnel,voted,6454332.99
Royal Canadian Mounted Police,Protective Operations,capital,Acquisition of machinery and equipment,statutory,6450128.13
"Innovation, Science and Economic Development Canada",Marketplace Protection and Promotion,capital,Acquisition of machinery and equipment,statutory,6445086.63
Agriculture and Agri-Food Canada,Internal Services,personnel,Personnel,statutory,6427159.24
National Defence,Land Equipment Acquisition,operating,Professional and special services,voted,6418348.95
Health Canada,Healthy People and Communities,personnel,Personnel,statutory,6399918.85
Public Services and Procurement Canada,Management and Oversight Services,operating,Professional and special services,voted,6399818.84
Royal Canadian Mounted Police,Operational IM/IT Services,operating,Transportation and communications,voted,6385776.05
Fisheries and Oceans Canada,Internal Services,operating,Professional and special services,voted,6373630.66
Canada Revenue Agency,Human Resources Management Services,operating,Professional and special services,voted,6369866.83
Royal Canadian Mounted Police,Federal Policing Investigations,operating,Repair and maintenance,voted,6362791.92
Department of Indigenous Services,Public Health and Disease Prevention,operating,Information,voted,6361586.09
"Housing, Infrastructure and Communities Canada",Public Infrastructure and Communities Policy,operating,Information,voted,6354550.05
Royal Canadian Mounted Police,Human Resources Management Services,other,Other subsidies and payments,statutory,6351758.21
Canada Revenue Agency,"Policy, Rulings, and Interpretations",operating,Rentals,voted,6343544.14
Parks Canada,Heritage Places Conservation,capital,Acquisition of machinery and equipment,voted,6334631.8
Canada Revenue Agency,Reporting Compliance,operating,Information,voted,6332086.61
Canada School of Public Service,Learning,other,Other subsidies and payments,statutory,6319946.25
Global Affairs Canada,International Assistance Operations,personnel,Personnel,voted,6305756.38
Employment and Social Development Canada,International Labour Affairs,personnel,Personnel,voted,6302195.1
National Defence,"Defence Infrastructure Construction, Recapitalization and Investment",capital,Acquisition of machinery and equipment,statutory,6301052.5
Fisheries and Oceans Canada,Maritime Security,personnel,Personnel,voted,6299986.66
Office of the Commissioner of Official Languages,Internal Services,personnel,Personnel,voted,6277167.74
Royal Canadian Mounted Police,Real Property Management Services,operating,Repair and maintenance,voted,6257196.61
Transport Canada,Transportation Analysis,operating,Information,voted,6253845.23
Transport Canada,Transportation Innovation,personnel,Personnel,voted,6247945.8
Library and Archives Canada,Preservation,other,Other subsidies and payments,voted,6234937.4
Transport Canada,Transportation Marketplace Frameworks,personnel,Personnel,statutory,6230832.68
Correctional Service Canada,Information Technology Services,operating,Professional and special services,voted,6218533.9
"Innovation, Science and Economic Development Canada",Information Technology Services,capital,Acquisition of machinery and equipment,voted,6217322.84
Social Sciences and Humanities Research Council of Canada,Management and Oversight Services,personnel,Personnel,voted,6212549.25
Royal Canadian Mounted Police,Specialized Technical Investigative Services,operating,"Utilities, materials and supplies",voted,6203031.07
Royal Canadian Mounted Police,Federal Policing Investigations,capital,Acquisition of machinery and equipment,voted,6190497.43
National Defence,Recruitment,operating,Professional and special services,voted,6181073.31
Transport Canada,Aircraft Services,personnel,Personnel,statutory,6156600.41
Prairies Economic Development Canada,Community Initiatives,personnel,Personnel,voted,6154004.93
National Film Board,Internal Services,operating,Rentals,voted,6152353.75
Royal Canadian Mounted Police,Force Generation,operating,Professional and special services,unknown,6150047.64
National Defence,"Defence Information & Communications Technology Systems Acquisition, Design and Delivery",operating,Rentals,voted,6148192.67
Public Safety Canada,Corrections,personnel,Personnel,voted,6131091.25
Fisheries and Oceans Canada,Human Resources Management Services,personnel,Personnel,statutory,6130153.5
Environment and Climate Change Canada,Legislative Auditing,personnel,Personnel,voted,6129592.02
Fisheries and Oceans Canada,Fleet Maintenance,operating,Transportation and communications,statutory,6126775.12
Natural Resources Canada,Common Government of Canada Information Technology (IT) Operations,personnel,Personnel,statutory,6116149.37
Natural Resources Canada,Polar Continental Shelf Program,operating,"Utilities, materials and supplies",voted,6115134.57
Library and Archives Canada,Outreach and support to communities,personnel,Personnel,voted,6111011.51
Environment and Climate Change Canada,Real Property Management Services,operating,Professional and special services,voted,6110041.65
Agriculture and Agri-Food Canada,Internal Services,operating,Professional and special services,statutory,6109098.62
Canadian Heritage,Indigenous Languages,personnel,Personnel,voted,6102254.35
Public Health Agency of Canada,Laboratory Science Leadership and Services,operating,Repair and maintenance,voted,6097777.91
Natural Sciences and Engineering Research Council of Canada,Research Training and Talent Development,personnel,Personnel,voted,6081498.24
Administrative Tribunals Support Service of Canada,Mandate and Members Services,personnel,Personnel,statutory,6075976.34
National Defence,Real Property Management Services,operating,Professional and special services,voted,6072671.28
Canada Revenue Agency,Internal Services,other,Other subsidies and payments,statutory,6053884.43
Department of Indigenous Services,Acquisition Management Services,personnel,Personnel,voted,6052134.13
Treasury Board of Canada Secretariat,Comptrollership Program,operating,"Utilities, materials and supplies",voted,6043110.12
Natural Resources Canada,Human Resources Management Services,operating,Professional and special services,voted,6041060.78
Department of Justice Canada,Internal Services,transfers,Transfer payments,unknown,6037220.0
Canada Border Services Agency,Recourse,operating,Professional and special services,voted,6036850.81
Transport Canada,Aviation Safety Oversight,operating,Transportation and communications,voted,6035004.17
Employment and Social Development Canada,Canada Student Financial Assistance Program and Canada Apprentice Loan,personnel,Personnel,statutory,6032973.27
Royal Canadian Mounted Police,Protective Operations,operating,Professional and special services,unknown,6022714.12
Agriculture and Agri-Food Canada,Management and Oversight Services,personnel,Personnel,statutory,6019241.83
National Defence,"Science, Technology and Innovation",operating,Transportation and communications,voted,6015576.64
Environment and Climate Change Canada,Acquisition Management Services,personnel,Personnel,voted,6014373.18
Fisheries and Oceans Canada,Fisheries Science,transfers,Transfer payments,unknown,6011003.0
Canada Revenue Agency,Internal Services,transfers,Transfer payments,voted,6010237.0
Environment and Climate Change Canada,Information Technology Services,capital,Acquisition of machinery and equipment,voted,6007333.42
Canada Energy Regulator,Economic Development in British Columbia,personnel,Personnel,voted,5986941.89
Royal Canadian Mounted Police,Criminal Intelligence Service Canada,personnel,Personnel,voted,5986504.99
Crown-Indigenous Relations and Northern Affairs Canada,Health Promotion and Chronic Disease Prevention,personnel,Personnel,voted,5983295.93
National Research Council Canada,Economic development in the Prairies,personnel,Personnel,statutory,5979608.84
Public Services and Procurement Canada,Parliament Hill and Surroundings,operating,Repair and maintenance,statutory,5969390.99
Statistics Canada,Socio-economic Statistics,operating,Rentals,voted,5967570.74
Royal Canadian Mounted Police,Operational Policing Support,personnel,Personnel,statutory,5964043.28
